SA2 Code,SA2 Label,Diabetes (%) All ages,Diabetes (%) 60 years and over,Diabetes (%) 70 years and over
303011051,Carindale,4.1,11.3,13.3
309031235,Arundel,4.1,11.3,13.3
122031431,Narrabeen - Collaroy,3.8,11.4,13.3
122031424,Beacon Hill - Narraweena,3.9,11.5,13.3
602011052,Youngtown - Relbia,4.4,11.5,13.3
202011020,East Bendigo - Kennington,4.5,11.5,13.3
316051438,Tewantin,5.7,11.7,13.3
128011530,Miranda - Yowie Bay,4.2,11.8,13.3
109031180,Corowa,5.5,11.8,13.3
506051139,High Wycombe,3.7,12,13.3
505011076,Iluka - Burns Beach,3,10,13.4
505011072,Duncraig,3.8,10.7,13.4
314011386,The Hills District,3.3,10.9,13.4
505011073,Greenwood - Warwick,3.9,10.9,13.4
504021053,Mundaring,4.1,11,13.4
109011172,Albury - East,3.3,11.3,13.4
204011058,Nagambie,5.2,11.3,13.4
208031189,Edithvale - Aspendale,3.6,11.4,13.4
204021066,Wangaratta,4.5,11.5,13.4
303011048,Cannon Hill,3.1,11.6,13.4
506061144,Serpentine - Jarrahdale,4.3,11.7,13.4
301021007,Cleveland,5.4,11.8,13.4
801011013,Hawker,4.5,11.9,13.4
309031237,Coombabah,5.7,11.9,13.4
203011035,Golden Plains - South,3.4,10.1,13.5
204031070,Chiltern - Indigo Valley,4.2,10.7,13.5
204031068,Beechworth,4.8,10.7,13.5
211051283,Mount Evelyn,3.3,10.8,13.5
209011201,Ivanhoe East - Eaglemont,4.1,10.8,13.5
501031018,Donnybrook - Balingup,4.6,10.8,13.5
211051281,Mooroolbark,3.3,11,13.5
206041117,Carlton,2.1,11.3,13.5
303021053,Coorparoo,3.2,11.3,13.5
301021012,Thornlands,3.6,11.3,13.5
309061247,Highland Park,3.9,11.3,13.5
301021009,Redland Bay,3.7,11.4,13.5
205011076,Drouin,4.1,11.5,13.5
601021012,South Arm,4.5,11.5,13.5
101031015,Cooma Region,5.1,11.5,13.5
217011421,Hamilton (Vic.),4.8,11.6,13.5
211041270,Mitcham (Vic.),3.7,11.8,13.5
101061541,Yass,4.1,11.9,13.5
101061543,Young,4.4,12,13.5
207031165,Burwood,3.3,12.1,13.5
305021116,Hawthorne,2.6,9.9,13.6
305011112,West End,2.9,10.4,13.6
507021164,East Fremantle,3.8,10.4,13.6
204031075,Yackandandah,4.1,10.4,13.6
304011083,Riverhills,3.1,10.6,13.6
207031167,Surrey Hills (East) - Mont Albert,3.7,11,13.6
405011110,Barossa - Angaston,4.4,11,13.6
121011400,Lane Cove - Greenwich,3.6,11.2,13.6
303021059,Yeronga,3.6,11.4,13.6
205011079,Warragul,4.4,11.5,13.6
217031475,Corangamite - South,4.4,11.5,13.6
309071252,Helensvale,4.2,11.6,13.6
101021007,Braidwood,5.3,11.6,13.6
201011003,Ballarat - North,4,11.7,13.6
211041272,Vermont,3.9,11.9,13.6
206051129,Elwood,2.7,10.2,13.7
206061136,Prahran - Windsor,2.8,10.8,13.7
309091265,Parkwood,3.3,10.8,13.7
121021404,Berowra - Brooklyn - Cowan,3.7,11.4,13.7
201011005,Buninyong,3.8,11.4,13.7
122031430,Manly Vale - Allambie Heights,3.4,11.5,13.7
204011056,Kilmore - Broadford,3.9,11.5,13.7
309071253,Hope Island,5.1,11.5,13.7
403021060,Marino - Seaview Downs,4.5,11.6,13.7
303041071,Tarragindi,3.3,11.7,13.7
207031161,Blackburn,3.8,11.9,13.7
101061544,Young Region,5.5,12.2,13.7
108041164,Port Macquarie - West,5.8,12.5,13.7
203011034,Bannockburn,2.7,10.5,13.8
206051128,Albert Park,3.8,10.9,13.8
313031371,Woodford - D'Aguilar,4.3,11.1,13.8
317011445,Cambooya - Wyreema,3.2,11.3,13.8
211051278,Lilydale - Coldstream,3.8,11.3,13.8
401051017,Norwood (SA),4.3,11.3,13.8
309061246,Carrara,4.5,11.5,13.8
216021412,Moira,5,11.5,13.8
501021010,Dardanup,4.2,11.6,13.8
405011115,Tanunda,4.8,11.6,13.8
207031164,Box Hill North,3.8,11.7,13.8
801011001,Aranda,4.3,11.8,13.8
602011046,Riverside,4.5,11.8,13.8
307031186,Southern Downs - West,5.5,11.8,13.8
211041273,Vermont South,4.7,11.9,13.8
317011455,Rangeville,4.7,12.1,13.8
317011446,Darling Heights,4,12.3,13.8
109031181,Corowa Region,5.6,12.3,13.8
211041269,Forest Hill,4.2,12.4,13.8
106031121,Nelson Bay Peninsula,6.1,12.4,13.8
108041163,Port Macquarie - East,5.3,12.5,13.8
202011023,Maiden Gully,3,10.8,13.9
503021039,Mount Lawley - Inglewood,3.4,10.8,13.9
304011082,Middle Park - Jamboree Heights,3.7,10.9,13.9
121011401,St Leonards - Naremburn,2.9,11,13.9
209011202,Montmorency - Briar Hill,3.9,11.1,13.9
403021059,Hallett Cove,4.1,11.1,13.9
801011025,Spence,3.9,11.3,13.9
121011402,Willoughby - Castle Cove - Northbridge,3.8,11.4,13.9
402051054,Redwood Park,4,11.4,13.9
202011025,White Hills - Ascot,3.2,11.5,13.9
128021536,Oyster Bay - Como - Jannali,3.8,11.5,13.9
204011054,Alexandra,6,11.8,13.9
121021406,Normanhurst - Thornleigh - Westleigh,4,11.9,13.9
201011002,Ballarat,4.5,12,13.9
304011084,Seventeen Mile Rocks - Sinnamon Park,3.4,10.8,14
505011081,Padbury,3.5,11.1,14
313031370,Kilcoy,4.6,11.3,14
204031071,Myrtleford,5,11.3,14
309071256,Oxenford - Maudsland,3.2,11.5,14
302011026,McDowall,3.7,11.5,14
405011112,Lyndoch,3.9,11.5,14
115031299,Bilpin - Colo - St Albans,4.8,11.6,14
403041075,Clarendon,4.9,11.6,14
201011001,Alfredton,3.2,11.7,14
301011002,Belmont - Gumdale,3.9,11.7,14
207031163,Box Hill,3.3,11.9,14
601061035,Sorell - Richmond,4.5,12,14
317011457,Toowoomba - East,4.4,12.1,14
602011048,Summerhill - Prospect,4.4,12.1,14
302021029,Chermside West,4.2,12.2,14
302021027,Aspley,4.8,12.2,14
216021414,Yarrawonga,5.6,12.3,14
109031185,Tocumwal - Finley - Jerilderie,5.7,12.4,14
109031184,Moama,5.3,12.5,14
304011085,Westlake,4.1,10.8,14.1
206051130,Port Melbourne,3.7,10.9,14.1
510011262,Broome,3.2,11.1,14.1
101021012,Queanbeyan West - Jerrabomberra,3,11.2,14.1
503021041,Perth City,3,11.2,14.1
506061142,Byford,2.3,11.7,14.1
128021608,Loftus - Yarrawarrah,3.9,11.8,14.1
209011198,Heidelberg - Rosanna,3.9,11.8,14.1
302011023,Bridgeman Downs,4.2,11.8,14.1
307031185,Southern Downs - East,5.2,11.9,14.1
