SA2 Code,SA2 Label,Heart stroke vascular (%) All ages,Heart stroke vascular (%) 60 years and over,Heart stroke vascular (%) 70 years and over
126021500,Macquarie Park - Marsfield,NA,NA,21.2
206031116,Moonee Ponds,NA,NA,21.2
207021159,Templestowe,NA,NA,21.2
317011457,Toowoomba - East,NA,NA,21.2
108051170,Taree Region,NA,NA,21.2
505021089,Karrinyup - Gwelup - Carine,NA,NA,21.2
102011041,Wamberal - Forresters Beach,NA,NA,21.2
507011153,Coolbellup,NA,NA,21.2
314011382,Albany Creek,NA,NA,21.2
309031239,Paradise Point - Hollywell,NA,NA,21.2
112031550,Banora Point,NA,NA,21.2
112031552,Tweed Heads South,NA,NA,21.2
601041024,Margate - Snug,NA,16,21.3
214021384,Rosebud - McCrae,NA,17.2,21.3
108041164,Port Macquarie - West,NA,17.3,21.3
112011243,Mullumbimby,NA,NA,21.3
209031215,Wattle Glen - Diamond Creek,NA,NA,21.3
128011604,Cronulla - Kurnell - Bundeena,NA,NA,21.3
302021034,Wavell Heights,NA,NA,21.3
502011026,Mandurah - East,NA,NA,21.3
506031124,Bentley - Wilson - St James,NA,NA,21.3
207021156,Bulleen,NA,NA,21.3
117031335,Redfern - Chippendale,NA,15.2,21.4
507041181,Melville,NA,16.7,21.4
602011044,Prospect Vale - Blackstone,NA,16.8,21.4
403031070,Panorama,NA,17.2,21.4
511011274,Esperance,NA,17.4,21.4
112021249,Lismore Region,NA,NA,21.4
126021497,Eastwood - Denistone,NA,NA,21.4
209011197,Greensborough,NA,NA,21.4
120031394,Dulwich Hill - Lewisham,NA,NA,21.4
309071256,Oxenford - Maudsland,NA,NA,21.4
208021182,Ormond - Glen Huntly,NA,NA,21.4
115011555,Castle Hill - North,NA,NA,21.4
601061034,Dodges Ferry - Lewisham,NA,NA,21.4
404021100,North Haven,NA,NA,21.4
115021297,Dural - Kenthurst - Wisemans Ferry,NA,NA,21.4
507051185,Baldivis,NA,NA,21.4
507051193,Warnbro,NA,NA,21.4
507051188,Rockingham,NA,NA,21.4
401041016,Rostrevor - Magill,NA,17,21.5
112021248,Lismore,NA,NA,21.5
507011161,Success - Hammond Park,NA,NA,21.5
317011458,Toowoomba - West,NA,NA,21.5
108021159,Nambucca Heads Region,NA,NA,21.5
209011199,Heidelberg West,NA,NA,21.5
119031371,Oatley - Hurstville Grove,NA,NA,21.5
104021090,Urunga,NA,NA,21.5
119031374,South Hurstville - Blakehurst,NA,NA,21.5
