SA2 Code,SA2 Label,Three or more chronic (%) All ages,Three or more chronic (%) 60 years and over,Three or more chronic (%) 70 years and over
407011147,Strathalbyn Region,10.1,21.2,23.1
319011493,Bargara - Burnett Heads,10.5,21.6,23.1
506011113,Forrestdale - Harrisdale - Piara Waters,2.8,17,23.2
303031060,Eight Mile Plains,4.8,17.5,23.2
507021164,East Fremantle,6.5,18.3,23.2
801061131,Kingston (ACT),5.7,18.4,23.2
211031265,Croydon Hills - Warranwood,6.5,18.6,23.2
108011152,Forster,12.6,22,23.2
506071145,Como,6.1,18.4,23.3
305021115,East Brisbane,5,19,23.3
801091102,Garran,6.9,19.5,23.3
128011531,Sylvania - Taren Point,7.6,19.8,23.3
301021007,Cleveland,9.3,20.5,23.3
105011093,Cobar,8.1,20.8,23.3
313011362,Beachmere - Sandstone Point,11.5,22.1,23.3
116021310,Parklea - Kellyville Ridge,3.4,17.4,23.4
209031212,Panton Hill - St Andrews,7.9,18.3,23.4
128021536,Oyster Bay - Como - Jannali,6,18.7,23.4
316051437,Sunshine Beach,8.4,19.4,23.4
701011006,Ludmilla - The Narrows,7.2,19.6,23.4
801091101,Farrer,7.4,19.8,23.4
506011115,Mount Nasura - Mount Richon - Bedfordale,8.2,20.1,23.4
316071547,Eumundi - Yandina,8.4,20.1,23.4
316061443,Maroochy Hinterland,11.3,20.1,23.4
211031452,Croydon South,7.4,20.2,23.4
509021241,Moora,9.1,20.8,23.4
312021353,Seaforth - Calen,9.2,20.8,23.4
307031185,Southern Downs - East,10.8,21.4,23.4
301021527,Redland Islands,14.6,22.3,23.4
126021500,Macquarie Park - Marsfield,4.8,18.3,23.5
211051274,Belgrave - Selby,7.2,18.5,23.5
309101267,Benowa,6.9,18.9,23.5
101021011,Queanbeyan Region,6.9,19.5,23.5
309011227,Mermaid Beach - Broadbeach,7.5,19.5,23.5
211041273,Vermont South,7.6,19.6,23.5
128021607,Engadine,6.5,20.3,23.5
115031299,Bilpin - Colo - St Albans,10.5,21.3,23.5
319011499,Bundaberg Region - South,12.1,21.9,23.5
506031125,Canning Vale - West,5.4,17.2,23.6
303051074,Pallara - Willawong,4.2,17.5,23.6
118021568,Maroubra - West,5,18.8,23.6
210021234,Riddells Creek,7.1,19.3,23.6
509031247,Kulin,9.1,19.6,23.6
128011529,Gymea - Grays Point,6.3,19.7,23.6
303041071,Tarragindi,5.6,19.9,23.6
210021232,Gisborne,6.8,20.1,23.6
801011026,Weetangera,7.7,20.2,23.6
801011001,Aranda,7.5,20.8,23.6
109021178,Wentworth - Buronga,10.1,21,23.6
604031096,Waratah,10.2,21,23.6
215011393,West Wimmera,11.6,21.8,23.6
319011498,Bundaberg Region - North,10.7,22,23.6
702011049,Mount Johns,4.9,14.8,23.7
126021590,Putney,5.4,17.3,23.7
305041134,Bardon,4.9,17.8,23.7
305041132,Ashgrove,5,18.3,23.7
701021027,Tiwi,6.2,18.4,23.7
117031334,Pyrmont - Ultimo,4.6,18.7,23.7
206051133,St Kilda,5.5,19.2,23.7
206051130,Port Melbourne,6.6,19.5,23.7
123031446,Douglas Park - Appin,6.2,19.8,23.7
801011013,Hawker,7.9,20.3,23.7
402051051,Highbury - Dernancourt,8,20.4,23.7
308051535,Gladstone Hinterland,7.2,20.5,23.7
312011339,Clermont,7.8,20.6,23.7
505031257,Two Rocks,8,21.7,23.7
701021025,Nightcliff,5,16.8,23.8
120031576,Strathfield South,5.4,17.8,23.8
301011002,Belmont - Gumdale,6.2,18.8,23.8
507031261,Casuarina - Wandi,4.7,19.3,23.8
316051543,Peregian Beach - Marcus Beach,8.3,19.5,23.8
312021357,Walkerston - Eton,8.1,20.9,23.8
103041079,Orange Region,8.9,21.5,23.8
109031185,Tocumwal - Finley - Jerilderie,11,21.5,23.8
509021239,Gingin - Dandaragan,11.7,22.8,23.8
701011007,Parap,4.9,15.8,23.9
305021116,Hawthorne,4,16.5,23.9
116021309,Glenwood,4.2,17.5,23.9
304011083,Riverhills,5.7,18.6,23.9
207021424,Doncaster East (North),6.7,18.9,23.9
507041177,Bicton - Palmyra,6.9,19.5,23.9
208011172,Hampton,6.5,19.7,23.9
505031105,Mindarie - Quinns Rocks - Jindalee,5.3,19.8,23.9
305031130,Windsor,4.8,19.9,23.9
210021235,Romsey,8.2,20.2,23.9
117031333,Potts Point - Woolloomooloo,7.3,20.4,23.9
602011038,Launceston,9,20.5,23.9
403041076,Coromandel Valley,7.6,20.6,23.9
403041075,Clarendon,9.4,20.7,23.9
113031268,Wagga Wagga - North,6,21.1,23.9
211031451,Croydon - West,7.7,21.1,23.9
701011008,Stuart Park,4.7,16.2,24
120021389,Lilyfield - Rozelle,5.2,18,24
507011148,Banjup,4.1,18.8,24
506031131,Willetton,5.8,18.8,24
309101268,Bundall,6.8,18.8,24
317011452,Middle Ridge,7.2,19.4,24
122031424,Beacon Hill - Narraweena,6.1,19.5,24
701031035,Weddell,7.5,19.6,24
313021369,Wamuran,8,19.9,24
211051285,Wandin - Seville,7.6,20,24
316061440,Caloundra Hinterland,12.4,21.1,24
102011030,Calga - Kulnura,10.1,21.2,24
308051530,Agnes Water - Miriam Vale,12.2,22.3,24
116021562,Acacia Gardens,4,15.7,24.1
305041136,Red Hill (Qld),4.8,18.7,24.1
118021566,Maroubra - North,6.1,19.6,24.1
302011024,Carseldine,7.3,20.4,24.1
112011240,Byron Bay,9.1,21.2,24.1
101051540,Goulburn Region,10.7,21.6,24.1
201021010,Creswick - Clunes,10.8,21.6,24.1
113031264,Gundagai,9.8,21.8,24.1
109031181,Corowa Region,11.3,22.7,24.1
108011154,Tuncurry,15.6,23.4,24.1
505011078,Kingsley,7.1,18.5,24.2
123031448,The Oaks - Oakdale,6.9,19,24.2
301011006,Wellington Point,7,19.9,24.2
801091104,Isaacs,9.2,20.2,24.2
313051542,Scarborough - Newport - Moreton Island,9.8,20.8,24.2
215011387,Ararat Region,11.7,22,24.2
305041135,Paddington - Milton,4.6,17.4,24.3
303031061,Macgregor (Qld),5.5,19.3,24.3
305031120,Alderley,5.1,19.4,24.3
126021498,Gladesville - Huntleys Point,6.1,19.4,24.3
505011081,Padbury,6.5,19.6,24.3
504011048,Noranda,8.2,19.6,24.3
505021094,Trigg - North Beach - Watermans Bay,7.7,19.9,24.3
112011242,Lennox Head - Skennars Head,8.2,20,24.3
128021533,Heathcote - Waterfall,7.5,20.4,24.3
207031162,Blackburn South,7.1,20.8,24.3
316051435,Noosaville,11.6,21.1,24.3
106031123,Seaham - Woodville,8.8,21.8,24.3
509031250,Wagin,11.2,21.9,24.3
701021013,Brinkin - Nakara,4.9,16.7,24.4
125011586,Lidcombe,4.6,18.2,24.4
701021011,Anula,5.5,18.3,24.4
211011255,Lysterfield,5.7,18.3,24.4
304011082,Middle Park - Jamboree Heights,6.2,18.3,24.4
701021029,Wanguri,6,19.3,24.4
305031123,Grange,4.8,19.4,24.4
212021299,Narre Warren North,6.8,19.4,24.4
209011200,Ivanhoe,6.6,19.5,24.4
309081259,Clear Island Waters,9.2,20.4,24.4
309091541,Southport - South,7.8,20.7,24.4
301021013,Victoria Point,9.3,21.9,24.4
319041517,Craignish - Dundowran Beach,10.7,22.8,24.4
701011004,Fannie Bay - The Gardens,6.2,18.2,24.5
208021179,Elsternwick,5.9,19.4,24.5
212051325,Mulgrave,6.6,20.4,24.5
801091100,Curtin,7.4,21.2,24.5
212011287,Beaconsfield - Officer,5.9,21.5,24.5
114021285,Hill Top - Colo Vale,7.7,21.6,24.5
215011389,Horsham Region,9.9,21.6,24.5
101061544,Young Region,11.6,21.9,24.5
509011231,Kojonup,10.3,22,24.5
109031180,Corowa,11.4,22.5,24.5
109031184,Moama,10.5,22.8,24.5
407011149,Yankalilla,13.4,23.1,24.5
106011113,Singleton Region,11,24.2,24.5
305021113,Balmoral,4.7,18.2,24.6
119031368,Hurstville,4.8,18.2,24.6
112031551,Terranora - North Tumblegum,7.3,19.2,24.6
801011003,Bruce,4.9,19.4,24.6
206041124,Parkville,5.3,19.7,24.6
104021088,Korora - Emerald Beach,9,20.6,24.6
302041041,Bracken Ridge,6.5,20.8,24.6
309031236,Biggera Waters,7.8,21.1,24.6
207031165,Burwood,5.6,21.3,24.6
407011145,Kangaroo Island,11.3,21.4,24.6
407021150,Grant,9.8,21.6,24.6
307031184,Clifton - Greenmount,10.3,21.6,24.6
401011001,Adelaide,6.7,21.7,24.6
501021010,Dardanup,9.8,22.6,24.6
318011465,Ingham Region,12.2,22.8,24.6
509021240,Merredin,10.1,22.9,24.6
319021508,Monto - Eidsvold,11.8,22.9,24.6
701021021,Lyons (NT),2.1,15.2,24.7
305031126,Kelvin Grove - Herston,3.4,18,24.7
505021093,Stirling - Osborne Park,6.2,19.4,24.7
211051284,Upwey - Tecoma,7.3,19.8,24.7
801041039,Franklin,3,20.3,24.7
505021092,Scarborough,5.9,20.3,24.7
309011224,Broadbeach Waters,7.7,20.3,24.7
115011554,Castle Hill - East,7.5,20.6,24.7
207021157,Doncaster,7.6,20.9,24.7
316061444,Palmwoods,8.8,20.9,24.7
308011191,Central Highlands - West,9.1,22.1,24.7
217031476,Otway,12.9,22.9,24.7
407031166,Murray Bridge Region,10.9,23,24.7
801071076,Fadden,7.8,18.5,24.8
701021028,Wagaman,5.7,18.6,24.8
119031369,Mortdale - Penshurst,5.9,19.7,24.8
303031066,Wishart,6.2,19.8,24.8
401041014,Athelstone,7.6,20.2,24.8
101031016,Jindabyne - Berridale,8.5,20.6,24.8
211041272,Vermont,6.9,20.8,24.8
317011450,Highfields,8,21.3,24.8
214021382,Mount Martha,8.5,21.7,24.8
