SA2 Code,SA2 Label,Asthma (%) All ages,Asthma (%) 60 years and over,Asthma (%) 70 years and over
206031116,Moonee Ponds,8.4,10.1,10.3
128011529,Gymea - Grays Point,9.4,10.1,10.3
125011586,Lidcombe,8.1,10.2,10.3
115011296,West Pennant Hills,9.3,10.2,10.3
601041026,Taroona - Bonnet Hill,10.2,10.2,10.3
125011585,Berala,8.2,10.3,10.3
801061064,Griffith (ACT),9,10.3,10.3
209011200,Ivanhoe,9.4,10.3,10.3
107041148,Thirroul - Austinmer - Coalcliff,10.2,10.3,10.3
304031094,Indooroopilly,8.3,10.4,10.3
213011337,Sunshine North,8.8,10.4,10.3
212051325,Mulgrave,8.9,10.4,10.3
304011082,Middle Park - Jamboree Heights,9.7,10.5,10.3
407021157,Tatiara,9.8,10.5,10.3
124031460,Glenmore Park - Regentville,10.1,10.5,10.3
503011033,Floreat,10.2,10.6,10.3
101051540,Goulburn Region,10.9,10.7,10.3
127021516,Fairfield - West,8.9,10.1,10.4
801051058,O'Connor (ACT),9.1,10.2,10.4
209021205,Kingsbury,7.8,10.3,10.4
127021511,Cabramatta - Lansvale,8.8,10.3,10.4
122021423,Warriewood - Mona Vale,9.3,10.3,10.4
121031409,Pymble,9.4,10.3,10.4
122021422,Newport - Bilgola,9.6,10.4,10.4
306051168,Kuranda,10.8,10.4,10.4
507011160,Spearwood,9.6,10.5,10.4
117021326,Marrickville,10.3,10.5,10.4
101061542,Yass Region,10.7,10.5,10.4
207011152,Hawthorn East,8.9,10.6,10.4
102011029,Box Head - MacMasters Beach,10.5,10.6,10.4
127011596,Hoxton Park - Carnes Hill - Horningsea Park,10.3,10.7,10.4
212021299,Narre Warren North,10.6,10.7,10.4
801011013,Hawker,10.2,10.8,10.4
801011021,McKellar,10.6,11,10.4
801061069,Red Hill (ACT),10.2,11.2,10.4
801011011,Giralang,11.2,11.7,10.4
211021261,Donvale - Park Orchards,9.1,10,10.5
507041182,Murdoch - Kardinya,8.8,10.1,10.5
801041040,Gungahlin,8.8,10.3,10.5
510031272,Karratha,9.5,10.3,10.5
504011047,Morley,8.9,10.5,10.5
601021012,South Arm,10.9,10.5,10.5
506041132,Beckenham - Kenwick - Langford,8.1,10.6,10.5
128021538,Sutherland - Kirrawee,9.2,10.6,10.5
102011038,Saratoga - Davistown,10.6,10.6,10.5
204031069,Bright - Mount Beauty,10.8,10.6,10.5
213021341,Altona,9.8,10.7,10.5
505011071,Currambine - Kinross,9.7,10.8,10.5
209021428,Preston - East,9.5,11.1,10.5
801011007,Evatt,11.2,11.5,10.5
303061077,Kuraby,8.1,10.2,10.6
125031484,Guildford West - Merrylands West,8.2,10.3,10.6
509011226,Albany Region,10.4,10.4,10.6
212051321,Glen Waverley - East,8,10.5,10.6
125031479,Chester Hill - Sefton,8.7,10.5,10.6
603021069,Bruny Island - Kettering,10.6,10.5,10.6
206071139,Abbotsford,8.5,10.6,10.6
212051327,Wheelers Hill,9.2,10.6,10.6
301021011,Sheldon - Mount Cotton,9.6,10.6,10.6
206071140,Carlton North - Princes Hill,9.7,10.7,10.6
207011151,Hawthorn,8.8,10.8,10.6
127021519,Smithfield - Wetherill Park,9.9,10.8,10.6
404011092,Henley Beach,10,10.8,10.6
206071145,Yarra - North,10.1,10.8,10.6
302021029,Chermside West,10.1,10.8,10.6
306021156,Whitfield - Edge Hill,10.1,10.8,10.6
505011080,Ocean Reef,10.1,10.8,10.6
401041014,Athelstone,10.2,10.8,10.6
504031062,Lockridge - Kiara,9.6,10.9,10.6
210011231,Strathmore,10.6,11,10.6
801011016,Kaleen,10.4,11.3,10.6
212031303,Cranbourne South,9.7,10.5,10.7
121031410,St Ives,9.4,10.6,10.7
308051531,Boyne Island - Tannum Sands,10.5,10.6,10.7
117031332,Newtown - Camperdown - Darlington,8.8,10.7,10.7
212051324,Mount Waverley - South,8.8,10.7,10.7
209031212,Panton Hill - St Andrews,10.7,10.7,10.7
206061135,Armadale,9.6,10.8,10.7
306011141,Redlynch,10.1,10.8,10.7
801061062,Deakin,10.1,10.8,10.7
801091110,Torrens,10.4,10.8,10.7
106021116,Maitland - North,10.7,10.8,10.7
506041135,Huntingdale - Southern River,9,10.9,10.7
127021509,Bonnyrigg Heights - Bonnyrigg,10.4,10.9,10.7
801081094,Holder,10.6,10.9,10.7
124041468,Yarramundi - Londonderry,11.1,10.9,10.7
318021487,Oonoonba,10.1,11,10.7
112031252,Murwillumbah Region,11,11,10.7
304021089,Fig Tree Pocket,10,11.1,10.7
215031403,Robinvale,10.3,11.1,10.7
102011030,Calga - Kulnura,11,11.1,10.7
403041076,Coromandel Valley,10.3,11.2,10.7
213021344,Newport,10.8,11.4,10.7
801011017,Latham,11.4,11.9,10.7
506031127,Cannington - Queens Park,6.7,10.1,10.8
801091104,Isaacs,9.3,10.2,10.8
121011400,Lane Cove - Greenwich,8.7,10.5,10.8
119021574,Wiley Park,8.3,10.6,10.8
127021513,Canley Vale - Canley Heights,9.3,10.6,10.8
122021421,Bayview - Elanora Heights,9.9,10.7,10.8
213051464,Point Cook - East,9.4,10.8,10.8
121031412,Wahroonga (East) - Warrawee,9.6,10.8,10.8
209011203,Viewbank - Yallambie,10,10.8,10.8
308031219,Rockhampton Region - North,10.8,10.9,10.8
310041296,Bellbird Park - Brookwater,10.1,11,10.8
503021038,Mount Hawthorn - Leederville,10.2,11,10.8
128021534,Illawong - Alfords Point,10.7,11,10.8
309101268,Bundall,10.3,11.1,10.8
203021042,Highton,10.7,11.1,10.8
505011082,Sorrento - Marmion,10.9,11.1,10.8
504031060,Gidgegannup,11.2,11.1,10.8
801071076,Fadden,11.3,11.1,10.8
507011260,Jandakot,10.4,11.3,10.8
308051535,Gladstone Hinterland,11.4,11.3,10.8
315011400,Tablelands,12,11.5,10.8
206031114,Essendon - Aberfeldie,8.6,10.5,10.9
303061078,Runcorn,7.8,10.6,10.9
116021312,Riverstone - Marsden Park,9.4,10.6,10.9
303061080,Sunnybank Hills,8.3,10.7,10.9
506031128,Parkwood - Ferndale - Lynwood,9,10.7,10.9
404031106,Lockleys,9.3,10.9,10.9
303031066,Wishart,9.4,10.9,10.9
403031067,Blackwood,10,10.9,10.9
801091100,Curtin,10.5,10.9,10.9
101061541,Yass,10.9,10.9,10.9
103041079,Orange Region,10.9,10.9,10.9
105031103,Dubbo Region,11.3,10.9,10.9
401041015,Paradise - Newton,9.3,11,10.9
509011228,Denmark,10.9,11,10.9
401021005,Hahndorf - Echunga,10.9,11.1,10.9
505011074,Heathridge - Connolly,10.2,11.2,10.9
206011108,Coburg,10.7,11.2,10.9
202011023,Maiden Gully,11.3,11.2,10.9
114011273,Callala Bay - Currarong,11.8,11.2,10.9
801011019,Macgregor (ACT),9.7,11.3,10.9
311051327,Shailer Park,10.7,11.4,10.9
318021489,Townsville - South,11.2,11.4,10.9
114011281,Tomerong - Wandandian - Woollamia,11.4,11.4,10.9
801011001,Aranda,10.7,11.5,10.9
213011332,Keilor Downs,11,11.5,10.9
318021470,Bohle Plains,11,11.6,10.9
206041124,Parkville,7.8,10.5,11
211041273,Vermont South,8.9,10.6,11
209041431,Epping - East,9.1,10.6,11
125011584,Auburn - South,8.5,10.7,11
119011572,Bankstown - South,9.1,10.7,11
505021090,Nollamara - Westminster,7.8,10.8,11
504011045,Bayswater - Embleton - Bedford,9.7,10.9,11
506021123,Victoria Park - Lathlain - Burswood,8.6,11,11
120031576,Strathfield South,10,11,11
404011091,Flinders Park,10,11,11
306011139,Clifton Beach - Kewarra Beach,10.3,11,11
306011140,Freshwater - Stratford,10.3,11,11
124011449,Blackheath - Megalong Valley,11.2,11,11
106041127,Muswellbrook Region,11.6,11,11
206041125,South Yarra - West,9.3,11.1,11
504031056,Ballajura,10.3,11.1,11
202011024,Strathfieldsaye,11.2,11.1,11
801081091,Chapman,10.9,11.2,11
506011115,Mount Nasura - Mount Richon - Bedfordale,11,11.2,11
401021003,Adelaide Hills,11.2,11.2,11
118021565,Kingsford,8.6,11.3,11
115011557,Castle Hill - West,10.7,11.3,11
504031065,Middle Swan - Herne Hill,11.1,11.3,11
209031210,Hurstbridge,11.4,11.3,11
309081261,Robina,10.3,11.4,11
118021564,Kensington (NSW),9.2,11.5,11
209041435,South Morang (North),10.7,11.5,11
112021249,Lismore Region,11.6,11.5,11
309041241,Guanaba - Springbrook,11.4,11.6,11
511041287,Geraldton - North,11.4,11.7,11
801011009,Flynn (ACT),11.7,11.7,11
